skill,category,weight
ajenti,technical,1.0
django-suit,technical,1.0
django-xadmin,technical,1.0
flask-admin,technical,1.0
flower,technical,1.0
grappelli,technical,1.0
wooey,technical,1.0
algorithms,technical,1.0
pypattyrn,technical,1.0
python-patterns,technical,1.0
sortedcontainers,technical,1.0
libraries,technical,1.0
django-simple-captcha,technical,1.0
django-simple-spam-blocker,technical,1.0
django-compressor,technical,1.0
django-pipeline,technical,1.0
django-storages,technical,1.0
fanstatic,technical,1.0
fileconveyor,technical,1.0
flask-assets,technical,1.0
jinja-assets-compressor,technical,1.0
webassets,technical,1.0
audiolazy,technical,1.0
audioread,technical,1.0
beets,technical,1.0
dejavu,technical,1.0
django-elastic-transcoder,technical,1.0
eyed3,technical,1.0
id3reader,technical,1.0
m3u8,technical,1.0
mingus,technical,1.0
pyaudioanalysis,technical,1.0
pydub,technical,1.0
pyechonest,technical,1.0
talkbox,technical,1.0
timeside,technical,1.0
tinytag,technical,1.0
authomatic,technical,1.0
django-allauth,technical,1.0
django-oauth-toolkit,technical,1.0
flask-oauthlib,technical,1.0
oauthlib,technical,1.0
python-oauth2,technical,1.0
python-social-auth,technical,1.0
rauth,technical,1.0
sanction,technical,1.0
jose,technical,1.0
pyjwt,technical,1.0
python-jws,technical,1.0
python-jwt,technical,1.0
bitbake,technical,1.0
buildout,technical,1.0
platformio,technical,1.0
pybuilder,technical,1.0
scons,technical,1.0
django-cms,technical,1.0
djedi-cms,technical,1.0
feincms,technical,1.0
kotti,technical,1.0
mezzanine,technical,1.0
opps,technical,1.0
plone,technical,1.0
quokka,technical,1.0
wagtail,technical,1.0
widgy,technical,1.0
libraries.1,technical,1.0
beaker,technical,1.0
diskcache,technical,1.0
django-cache-machine,technical,1.0
django-cacheops,technical,1.0
django-viewlet,technical,1.0
dogpile.cache,technical,1.0
hermescache,technical,1.0
johnny-cache,technical,1.0
pylibmc,technical,1.0
errbot,technical,1.0
coala,technical,1.0
code2flow,technical,1.0
pycallgraph,technical,1.0
flake8,technical,1.0
pylama,technical,1.0
pylint,technical,1.0
mypy,technical,1.0
asciimatics,technical,1.0
cement,technical,1.0
click,technical,1.0
cliff,technical,1.0
clint,technical,1.0
colorama,technical,1.0
docopt,technical,1.0
gooey,technical,1.0
python-fire,technical,1.0
python-prompt-toolkit,technical,1.0
aws-cli,technical,1.0
bashplotlib,technical,1.0
caniusepython3,technical,1.0
cookiecutter,technical,1.0
doitlive,technical,1.0
howdoi,technical,1.0
httpie,technical,1.0
mycli,technical,1.0
pathpicker,technical,1.0
percol,technical,1.0
pgcli,technical,1.0
saws,technical,1.0
thefuck,technical,1.0
try,technical,1.0
python-future,technical,1.0
python-modernize,technical,1.0
six,technical,1.0
opencv,technical,1.0
pyocr,technical,1.0
pytesseract,technical,1.0
simplecv,technical,1.0
eventlet,technical,1.0
gevent,technical,1.0
multiprocessing,technical,1.0
threading,technical,1.0
tomorrow,technical,1.0
uvloop,technical,1.0
config,technical,1.0
configobj,technical,1.0
configparser,technical,1.0
profig,technical,1.0
python-decouple,technical,1.0
cryptography,technical,1.0
hashids,technical,1.0
paramiko,technical,1.0
passlib,technical,1.0
pynacl,technical,1.0
blaze,technical,1.0
open,technical,1.0
orange,technical,1.0
pandas,technical,1.0
cerberus,technical,1.0
colander,technical,1.0
jsonschema,technical,1.0
schema,technical,1.0
schematics,technical,1.0
valideer,technical,1.0
voluptuous,technical,1.0
altair,technical,1.0
bokeh,technical,1.0
ggplot,technical,1.0
matplotlib,technical,1.0
pygal,technical,1.0
pygraphviz,technical,1.0
pyqtgraph,technical,1.0
seaborn,technical,1.0
vispy,technical,1.0
pickledb,technical,1.0
pipelinedb,technical,1.0
tinydb,technical,1.0
zodb,technical,1.0
mysql,technical,1.0
mysql-python,technical,1.0
mysqlclient,technical,1.0
oursql,technical,1.0
pymysql,technical,1.0
postgresql,technical,1.0
psycopg2,technical,1.0
queries,technical,1.0
txpostgres,technical,1.0
apsw,technical,1.0
dataset,technical,1.0
pymssql,technical,1.0
nosql,technical,1.0
cassandra-python-driver,technical,1.0
happybase,technical,1.0
plyvel,technical,1.0
py2neo,technical,1.0
pycassa,technical,1.0
pymongo,technical,1.0
redis-py,technical,1.0
telephus,technical,1.0
txredis,technical,1.0
arrow,technical,1.0
chronyk,technical,1.0
dateutil,technical,1.0
delorean,technical,1.0
moment,technical,1.0
pendulum,technical,1.0
pytime,technical,1.0
pytz,technical,1.0
when.py,technical,1.0
ipdb,technical,1.0
pdb++,technical,1.0
pudb,technical,1.0
remote-pdb,technical,1.0
wdb,technical,1.0
line_profiler,technical,1.0
memory_profiler,technical,1.0
profiling,technical,1.0
vprof,technical,1.0
caffe,technical,1.0
keras,technical,1.0
mxnet,technical,1.0
neupy,technical,1.0
pytorch,technical,1.0
tensorflow,technical,1.0
theano,technical,1.0
ansible,technical,1.0
cloud-init,technical,1.0
cuisine,technical,1.0
docker,technical,1.0
fabric,technical,1.0
fabtools,technical,1.0
honcho,technical,1.0
openstack,technical,1.0
pexpect,technical,1.0
psutil,technical,1.0
saltstack,technical,1.0
supervisor,technical,1.0
dh-virtualenv,technical,1.0
nuitka,technical,1.0
py2app,technical,1.0
py2exe,technical,1.0
pyinstaller,technical,1.0
pynsist,technical,1.0
sphinx,technical,1.0
awesome-sphinxdoc,technical,1.0
mkdocs,technical,1.0
pdoc,technical,1.0
pycco,technical,1.0
s3cmd,technical,1.0
s4cmd,technical,1.0
you-get,technical,1.0
youtube-dl,technical,1.0
alipay,technical,1.0
cartridge,technical,1.0
django-oscar,technical,1.0
django-shop,technical,1.0
merchant,technical,1.0
money,technical,1.0
python-currencies,technical,1.0
forex-python,technical,1.0
shoop,technical,1.0
emacs,technical,1.0
elpy,technical,1.0
sublime,technical,1.0
anaconda,technical,1.0
sublimejedi,technical,1.0
vim,technical,1.0
jedi-vim,technical,1.0
python-mode,technical,1.0
youcompleteme,technical,1.0
ptvs,technical,1.0
visual,technical,1.0
python,technical,1.0
magic,technical,1.0
liclipse,technical,1.0
pycharm,technical,1.0
spyder,technical,1.0
libraries.2,technical,1.0
envelopes,technical,1.0
flanker,technical,1.0
imbox,technical,1.0
inbox.py,technical,1.0
lamson,technical,1.0
marrow,technical,1.0
modoboa,technical,1.0
nylas,technical,1.0
yagmail,technical,1.0
pipenv,technical,1.0
p,technical,1.0
pyenv,technical,1.0
venv,technical,1.0
virtualenv,technical,1.0
virtualenvwrapper,technical,1.0
imghdr,technical,1.0
mimetypes,technical,1.0
path.py,technical,1.0
pathlib,technical,1.0
python-magic,technical,1.0
unipath,technical,1.0
watchdog,technical,1.0
cffi,technical,1.0
ctypes,technical,1.0
pycuda,technical,1.0
swig,technical,1.0
deform,technical,1.0
django-bootstrap3,technical,1.0
django-crispy-forms,technical,1.0
django-remote-forms,technical,1.0
wtforms,technical,1.0
cytoolz,technical,1.0
fn.py,technical,1.0
funcy,technical,1.0
toolz,technical,1.0
curses,technical,1.0
enaml,technical,1.0
flexx,technical,1.0
kivy,technical,1.0
pyglet,technical,1.0
pygobject,technical,1.0
pyqt,technical,1.0
pyside,technical,1.0
pywebview,technical,1.0
tkinter,technical,1.0
toga,technical,1.0
urwid,technical,1.0
wxpython,technical,1.0
cocos2d,technical,1.0
panda3d,technical,1.0
pygame,technical,1.0
pyogre,technical,1.0
pyopengl,technical,1.0
pysdl2,technical,1.0
renpy,technical,1.0
django-countries,technical,1.0
geodjango,technical,1.0
geoip,technical,1.0
geojson,technical,1.0
geopy,technical,1.0
pygeoip,technical,1.0
beautifulsoup,technical,1.0
bleach,technical,1.0
cssutils,technical,1.0
html5lib,technical,1.0
lxml,technical,1.0
markupsafe,technical,1.0
pyquery,technical,1.0
untangle,technical,1.0
weasyprint,technical,1.0
xmldataset,technical,1.0
xmltodict,technical,1.0
grequests,technical,1.0
httplib2,technical,1.0
requests,technical,1.0
treq,technical,1.0
